ВУЗ,Направление_подготовки_1,Направление_подготовки_2,Форма,Программа,Бюджетные,Платные,Год,Стоимость,Балл_Б,Балл_П,Балл_макс,Факультет,Название программы,Ссылка,ЦП,Предмет1,Предмет2,Макс_балл
РАНХиГС,38.04.08,,Очно-заочная,Прикладные корпоративные финансы,4,35,2.0,225000,80,80,,,,,,,,200.0
РАНХиГС,38.04.08,,Очно-заочная,Инвестиционные стратегии,0,15,2.0,260000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Очно-заочная,Международное бизнес-право (LLM-program in International ...,0,15,2.0,400000,80,80,,,,,,,,200.0
РАНХиГС,37.04.01,,Очно-заочная,Психология управления,10,30,2.0,250000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,Экономика и право,5,60,2.0,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,Корпоративная экономика,5,40,2.0,280000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Корпоративное управление и стратегическое развитие бизнеса,0,75,2.0,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.03,,Очно-заочная,Управление персоналом государственной службы и корпораций,8,60,2.0,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Государственная служба и кадровая политика,5,60,2.0,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Система государственного и муниципального управления,25,160,2.0,190000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Очно-заочная,"Гражданское право, семейное право, международное частное ...",7,105,2.0,230000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Корпоративный финансовый менеджмент,7,40,2.0,225000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Менеджмент в финансовых организациях,4,35,2.0,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Управление инвестиционно-строительной деятельностью,0,15,2.0,265000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Управление государственным и корпоративным заказом,5,25,2.0,290000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Организация и управление в здравоохранении,10,50,2.0,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Управление проектами и программами,5,85,2.0,210000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Очно-заочная,"Финансовое право, налоговое право и налогообложение",5,55,2.0,230000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Маркетинговые стратегии бренд-лидерства,0,15,2.0,260000,80,80,,,,,,,,200.0
РАНХиГС,38.04.08,,Очно-заочная,Прикладные корпоративные финансы,4,35,2.0,225000,80,80,,,,,,,,200.0
РАНХиГС,38.04.08,,Очно-заочная,Инвестиционные стратегии,0,15,2.0,260000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Очно-заочная,Международное бизнес-право (LLM-program in International ...,0,15,2.0,400000,80,80,,,,,,,,200.0
РАНХиГС,37.04.01,,Очно-заочная,Психология управления,10,30,2.0,250000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,Экономика и право,5,60,2.0,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,Корпоративная экономика,5,40,2.0,280000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Корпоративное управление и стратегическое развитие бизнеса,0,75,2.0,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.03,,Очно-заочная,Управление персоналом государственной службы и корпораций,8,60,2.0,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Государственная служба и кадровая политика,5,60,2.0,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Система государственного и муниципального управления,25,160,2.0,190000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Очно-заочная,"Гражданское право, семейное право, международное частное ...",7,105,2.0,230000,80,80,,,,,,,,200.0
РАНХиГС,41.04.04,,Очно-заочная,Политическое региональное управление и экономическая ...,15,45,2.0,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,"Банки, финансы, инвестиции",4,35,2.0,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Общий и стратегический менеджмент,0,40,2.0,353000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Управление лидерством и организационная трансформация,0,15,2.0,280000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Управление государственными и муниципальными предприятиями,10,100,2.0,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,Государственное регулирование экономики,10,30,2.0,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Информационный менеджмент,0,50,2.0,220000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Деловое администрирование,0,150,2.0,500000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Управление производственными системами,5,25,2.0,290000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Психология политического лидерства и управления,0,45,2.0,200000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Очно-заочная,Правовое обеспечение государственного и муниципального ...,7,50,2.0,230000,80,80,,,,,,,,200.0
РАНХиГС,37.04.01,,Очно-заочная,Психология кризисных состояний и клиническая психология,11,40,2.0,250000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,"Финансы: учет, анализ и аудит",4,35,2.0,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,Финансовая дипломатия,4,30,2.0,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Очно-заочная,Бизнес и финансово-управленческие решения,4,20,2.0,358000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Технологическое предпринимательство,5,25,2.0,290000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Очно-заочная,Управление цифровыми проектами,0,80,2.0,390000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Государственная и муниципальная социальная политика,5,45,2.0,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Очно-заочная,Государственное регулирование корпоративного сектора и ...,5,15,2.0,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.08,,Очно-заочная,Финансовая инженерия,4,30,2.0,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Корпоративный финансовый менеджмент,7,40,2.5,225000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Менеджмент в финансовых организациях,4,35,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Организация и управление в здравоохранении,10,50,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,"Управление в сфере культуры, образования и науки",5,40,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Управление проектами и программами,5,85,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Цифровое государство (стратегическое развитие ...,5,60,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,"Финансовое право, налоговое право и налогообложение",5,55,2.5,230000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Юрист имущественного комплекса,0,30,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,09.04.03,,Заочная,Разработка компьютерных игр (гейм-дизайн),0,45,2.5,230000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Стратегическое проектирование в сфере просвещения и ...,0,20,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Безопасность межконфессиональных и межэтнических отношений,5,15,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Антикризисное управление,0,25,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Парламентская деятельность и обеспечение межпарламентского ...,0,40,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.08,,Заочная,Прикладные корпоративные финансы,4,35,2.5,225000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,"Международное право, европейское право, международная ...",4,30,2.5,220000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Юрист в государственном аппарате,8,30,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,Экономика и право,5,60,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,Управление инвестициями и инновациями в экономике,8,25,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Корпоративное управление и стратегическое развитие бизнеса,0,75,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Корпоративный финансовый менеджмент,7,40,2.5,225000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Менеджмент в финансовых организациях,4,35,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Организация и управление в здравоохранении,10,50,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,"Управление в сфере культуры, образования и науки",5,40,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Управление проектами и программами,5,85,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Цифровое государство (стратегическое развитие ...,5,60,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,"Финансовое право, налоговое право и налогообложение",5,55,2.5,230000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Юрист имущественного комплекса,0,30,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,09.04.03,,Заочная,Разработка компьютерных игр (гейм-дизайн),0,45,2.5,230000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Стратегическое проектирование в сфере просвещения и ...,0,20,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Безопасность межконфессиональных и межэтнических отношений,5,15,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Антикризисное управление,0,25,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Парламентская деятельность и обеспечение межпарламентского ...,0,40,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.08,,Заочная,Прикладные корпоративные финансы,4,35,2.5,225000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,"Международное право, европейское право, международная ...",4,30,2.5,220000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Юрист в государственном аппарате,8,30,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,Экономика и право,5,60,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,Управление инвестициями и инновациями в экономике,8,25,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Корпоративное управление и стратегическое развитие бизнеса,0,75,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Менеджмент здравоохранения и цифровизация,5,20,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.03,,Заочная,Управление персоналом государственной службы и корпораций,8,60,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Национальные и федеративные отношения,5,15,2.5,180000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Общественные связи и медиаполитика,4,50,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,"Инновационные технологии взаимодействия власти, бизнеса и ...",0,25,2.5,262000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Государственная служба и кадровая политика,5,60,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Система государственного и муниципального управления,25,160,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.09,,Заочная,Государственный аудит и контроль,5,15,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,"Гражданское право, семейное право, международное частное ...",7,105,2.5,230000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,"Юрист для бизнеса, власти и обеспечения прав человека",7,30,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,"Банки, финансы, инвестиции",4,35,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Межгосударственное взаимодействие (с углубленным изучением ...,4,30,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Управление государственными и муниципальными предприятиями,10,100,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Государственное управление и внешнеполитическая ...,6,15,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Управление государственным и муниципальным имуществом,0,30,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Магистр инновационного и предпринимательского права в ...,0,15,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,42.04.02,,Заочная,Журналистика и медиатехнологии,7,45,2.5,194000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,Государственное регулирование экономики,10,30,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.02,,Заочная,Информационный менеджмент,0,50,2.5,220000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Безопасность государственного управления и противодействие ...,10,80,2.5,210000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Государственное регулирование природопользования,0,15,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Психология политического лидерства и управления,0,45,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Государственное стратегическое управление,0,50,2.5,230000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Правовое обеспечение государственного и муниципального ...,7,50,2.5,230000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Международное право для государства и гражданина,0,30,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,42.04.05,,Заочная,Продюсер креативных индустрий,0,40,2.5,310000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,"Финансы: учет, анализ и аудит",4,35,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,Финансовая дипломатия,4,30,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,38.04.01,,Заочная,Государственная статистика и анализ данных,0,10,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Государственная и муниципальная социальная политика,5,45,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Управление развитием российского Севера,0,20,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Стратегическое управление городом и урбанистика,4,30,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Государственное управление и национальная безопасность,29,35,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Продвижение и управление брендами,0,30,2.5,200000,80,80,,,,,,,,200.0
РАНХиГС,38.04.04,,Заочная,Региональная политика и стратегическое управление регионом,4,35,2.5,190000,80,80,,,,,,,,200.0
РАНХиГС,38.04.08,,Заочная,Финансовая инженерия,4,30,2.5,216000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,"Гражданское право, гражданский процесс, арбитражный процесс",7,30,2.5,240000,80,80,,,,,,,,200.0
РАНХиГС,40.04.01,,Заочная,Антикоррупционная деятельность,0,16,2.5,240000,80,80,,,,,,,,200.0
Плеханова,09.04.02,"Информационные системы и технологии (Высшая школа кибертехнологий, математики и статистики)",Очная,Аналитика данных и системное моделирование,15,15,2.0,340000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,09.04.03,"Прикладная информатика (Высшая школа кибертехнологий, математики и статистики)",Очная,Информационная бизнес-аналитика и искусственный интеллект*,15,10,2.0,340000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,10.04.01,"Прикладная информатика (Высшая школа ""Форсайт"")",Очная,Машинное обучение и суперкомпьютерное моделирование в экономике,15,15,2.0,340000,44,30,100.0,"Высшая школа ""Форсайт""",,,,,,
Плеханова,37.04.01,"Информационная безопасность (Высшая школа кибертехнологий, математики и статистики)",Очная,"Защита информационного пространства субъектов экономической
деятельности",20,10,2.0,340000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,37.04.01,Психология (Высшая школа социально-гуманитарных наук),Очная,Психология в бизнесе и рекламе,20,10,2.0,310000,44,30,100.0,Высшая школа социально-гуманитарных наук,,,,,,
Плеханова,38.04.01,Экономика (Высшая школа экономики и бизнеса),Очная,Международные корпоративные финансы (на английском языке),24,55,2.0,400000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,38.04.01,Экономика (Высшая школа финансов),Очная,"Корпоративная отчетность, анализ и аудит",24,32,2.0,370000,44,30,100.0,Высшая школа финансов,,,,,,
Плеханова,38.04.01,"Экономика (Высшая школа кибертехнологий, математики и статистики)",Очная,Аналитика данных и системное моделирование,14,15,2.0,340000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,38.04.01,"Экономика (Высшая инженерная школа ""Новые материалы и технологии"")",Очная,Экономика высокотехнологичных предприятий промышленности,10,15,2.0,370000,44,30,100.0,"Высшая инженерная
школа ""Новые материалы
и технологии""",,,,,,
Плеханова,38.04.01,"Экономика (специальный факультет талантливой молодежи ""Высшая школа Форсайт)",Очная,Data Scientist для экономики,10,10,2.0,230000,44,30,100.0,"Высшая школа ""Форсайт""",,,,,,
Плеханова,38.04.02,Менеджмент (Высшая школа менеджмента),Очная,Управление проектами,10,60,2.0,370000,44,30,100.0,"Высшая школа
менеджмента",,,,,,
Плеханова,38.04.02,Менеджмент (Высшая школа финансов),Очная,Комплаенс-сопровождение бизнеса,25,5,2.0,370000,44,30,100.0,Высшая школа финансов,,,,,,
Плеханова,38.04.02,"Менеджмент (Высшая инженерная школа ""Новые материалы и технологии"")",Очная,Менеджмент в индустрии питания,10,10,2.0,370000,44,30,100.0,"Высшая инженерная
школа ""Новые материалы
и технологии""",,,,,,
Плеханова,38.04.02,Менеджмент (Высшая школа экономики и бизнеса),Очная,Бизнес-технологии интегрированной логистики,15,74,2.0,370000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,38.04.02,"Менеджмент (факультет бизнеса ""КАПИТАНЫ"")",Очная,Цифровой менеджмент и предпринимательство,25,20,2.0,370000,44,30,100.0,"Факультет бизнеса
""Капитаны""",,,,,,
Плеханова,38.04.03,Управление персоналом (Высшая школа экономики и бизнеса),Очная,Стратегическое управление персоналом организации,9,10,2.0,370000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,38.04.04,Государственное и муниципальное управление (Высшая школа права),Очная,Цифровое публичное управление,14,5,2.0,370000,44,30,100.0,Высшая школа права,,,,,,
Плеханова,38.04.04,"Государственное и муниципальное управление (факультет бизнеса ""КАПИТАНЫ"")",Очная,Государственная политика и социальное лидерство,8,20,2.0,370000,44,30,100.0,"Факультет бизнеса
""Капитаны""",,,,,,
Плеханова,38.04.05,"Бизнес-информатика (Высшая школа кибертехнологий, математики и статистики)",Очная,Цифровой бизнес,15,15,2.0,330000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,38.04.06,Торговое дело (Высшая школа экономики и бизнеса),Очная,Организация и технология торгового бизнеса,14,10,2.0,3100000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,38.04.07,"Товароведение (Высшая инженерная школа ""Новые материалы и технологии"")",Очная,Пищевые инновации и продакт-дизайн,15,5,2.0,310000,44,30,100.0,"Высшая инженерная
школа ""Новые материалы
и технологии""",,,,,,
Плеханова,38.04.08,Финансы и кредит (Высшая школа финансов),Очная,,30,60,2.0,370000,44,30,100.0,Высшая школа финансов,,,,,,
Плеханова,40.04.01,Юриспруденция (Высшая школа права),Очная,"Правовое обеспечение информационной безопасности и цифровой Высшая школа права
экономики",0,30,2.0,320000,44,30,100.0,Высшая школа права,,,,,,
Плеханова,41.04.05,Международные отношения (Высшая школа экономики и бизнеса),Очная,Торговая дипломатия в международном бизнесе,0,15,2.0,350000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,42.04.01,Реклама и связи с общественностью (Высшая школа экономики и бизнеса),Очная,Рекламные технологии бизнеса,8,15,2.0,370000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,42.04.05,"Медиакоммуникации (институт ""Первая академия медиа"")",Очная,Медиабрендинг в цифровых форматах,7,15,2.0,370000,44,30,100.0,"Институт ""Первая
Академия медиа""",,,,,,
Плеханова,42.04.05,Медиакоммуникации (Высшая школа креативных индустрий),Очная,Мультимедийные цифровые технологии в креативных индустриях,0,15,2.0,370000,44,30,100.0,"Высшая школа креативных
индустрий",,,,,,
Плеханова,43.04.03,Гостиничное дело (Высшая школа менеджмента),Очная,Корпоративные стратегии индустрии гостеприимства,15,15,2.0,310000,44,30,100.0,"Высшая школа
менеджмента",,,,,,
Плеханова,01.04.04,"Прикладная математика (Высшая школа кибертехнологий, математики и статистики)",Очно-заочная,Интеллектуальные системы моделирования экономических процессов,0,15,2.5,180000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,01.04.05,"Статистика (Высшая школа кибертехнологий, математики и статистики)",Очно-заочная,Аналитика данных и системное моделирование,0,10,2.5,220000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,02.04.03,"Математическое обеспечение и администрирование информационных систем (Высшая школа кибертехнологий, математики и статистики)",Очно-заочная,Разработка и управление цифровыми платформами,0,10,2.5,220000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,05.04.06,"Экология и природопользование (Высшая инженерная школа ""Новые материалы и технологии"")",Очно-заочная,ESG-трансформация предприятий,0,10,2.5,190000,44,30,100.0,"Высшая инженерная
школа ""Новые материалы
и технологии""",,,,,,
Плеханова,09.04.03,"Прикладная информатика (Высшая школа кибертехнологий, математики и статистики)",Очно-заочная,Информационная бизнес-аналитика и искусственный интеллект*,0,10,2.5,140000,44,30,100.0,"Высшая школа
кибертехнологий,
математики и статистики",,,,,,
Плеханова,27.04.05,Инноватика (Высшая школа менеджмента),Очно-заочная,Управление инновационными бизнес-системами ,0,10,2.5,190000,44,30,100.0,"Высшая школа
менеджмента",,,,,,
Плеханова,38.04.01,Экономика (Высшая школа финансов),Очно-заочная,"Финансовая аналитика и устойчивые финансы (ESG) (на английском
языке)",0,25,2.5,230000,44,30,100.0,Высшая школа финансов,,,,,,
Плеханова,38.04.01,Экономика (Высшая школа экономики и бизнеса),Очно-заочная,Международная экономика и бизнес,0,30,2.5,230000,44,30,100.0,"Высшая школа экономики
и бизнеса",,,,,,
Плеханова,38.04.01,"Экономика (Высшая инженерная школа ""Новые материалы и технологии"")",Очно-заочная,Экономика высокотехнологичных предприятий промышленности,0,15,2.5,230000,44,30,100.0,"Высшая инженерная
школа ""Новые материалы
и технологии""",,,,,,
Плеханова,38.04.01,"Экономика (факультет ""Плехановская школа бизнеса ""Интеграл"")",Очно-заочная,"Экономика и планирование материально-технического обеспечения
компании",0,40,2.5,230000,44,30,100.0,"Факультет ""Плехановская
школа бизнеса ""Интеграл""",,,,,,
Плеханова,38.04.02,Менеджмент (Высшая школа экономики и бизнеса),Очно-заочная,Маркетинг и продажи,0,25,2.5,230000,44,30,100.0,"Высшая школа экономики
и бизнеса",,,,,,
Плеханова,38.04.02,Менеджмент (Высшая школа финансов),Очно-заочная,Комплаенс-сопровождение бизнеса,0,15,2.5,230000,44,30,100.0,Высшая школа финансов,,,,,,
Плеханова,38.04.02,Менеджмент (Высшая школа менеджмента),Очно-заочная,Управление проектами устойчивого развития,0,20,2.5,230000,44,30,100.0,"Высшая школа
менеджмента",,,,,,
Плеханова,38.04.02,"Менеджмент (факультет ""Плехановская школа бизнеса ""Интеграл"")",Очно-заочная,Управление государственными и частными финансами,0,20,2.5,230000,44,30,100.0,"Факультет ""Плехановская
школа бизнеса ""Интеграл""",,,,,,
Плеханова,38.04.02,"Менеджмент (Высшая инженерная школа ""Новые материалы и технологии"")",Очно-заочная,Цифровая трансформация коммуникационных и логистических услуг,0,10,2.5,230000,44,30,100.0,"Высшая инженерная
школа ""Новые материалы
и технологии""",,,,,,
Плеханова,38.04.03,Управление персоналом (Высшая школа экономики и бизнеса),Очно-заочная,Стратегическое управление персоналом организации Высшая школа экономики и бизнеса,0,15,2.5,230000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,38.04.04,Государственное и муниципальное управление (Высшая школа права),Очно-заочная,Государственное управление ,0,14,2.5,230000,44,30,100.0,Высшая школа права,,,,,,
Плеханова,38.04.07,"Товароведение (Высшая инженерная школа ""Новые материалы и технологии"")",Очно-заочная,Управление модным продуктом,0,15,2.5,190000,44,30,100.0,"Высшая инженерная
школа ""Новые материалы
и технологии""",,,,,,
Плеханова,38.04.08,Финансы и кредит (Высшая школа финансов),Очно-заочная,Финансовая аналитика,0,50,2.5,230000,44,30,100.0,Высшая школа финансов,,,,,,
Плеханова,40.04.01,Юриспруденция (Высшая школа права),Очно-заочная,"Правовое обеспечение информационной безопасности и цифровой Высшая школа права
экономики",0,25,2.5,230000,44,30,100.0,Высшая школа права,,,,,,
Плеханова,40.04.01,"Юриспруденция (факультет ""Плехановская школа бизнеса ""Интеграл"")",Очно-заочная,Судебная финансово-экономическая экспертиза,0,35,2.5,230000,44,30,100.0,"Факультет ""Плехановская
школа бизнеса ""Интеграл""",,,,,,
Плеханова,41.04.05,Международные отношения (Высшая школа экономики и бизнеса),Очно-заочная,Торговая дипломатия в международном бизнесе,0,15,2.5,220000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,42.04.01,Реклама и связи с общественностью (Высшая школа экономики и бизнеса),Очно-заочная,Рекламные технологии бизнеса,0,30,2.5,230000,44,30,100.0,"Высшая школа
экономики и бизнеса",,,,,,
Плеханова,43.04.01,Гостиничное дело (Высшая школа менеджмента),Очно-заочная,Стратегический менеджмент и маркетинг в гостиничном бизнесе,0,15,2.5,180000,44,30,100.0,"Высшая школа
менеджмента",,,,,,
